,comment~~~
0,下饭
1,久违了！
2,为了故事好卖
3,圣魔之血，我吹爆
4,来了来了
5,哪里枯燥了啊喂
6,圣魔之血，可惜作者死的早啊
7,。。。。。。。。。。
8,绝了，祖先美德了
9,哈？
10,祖先在这里美德了
11,祖先美德了...........
12,-+
13,等好久了，还以为没了
14,求问这张图出自哪里？？？？
15,让我看看
16,先祖还美德了
17,让人发狂之后产生美德的祖先是屑
18,Hellsing
19,早上好
20,祖先一般都很厉害，比如乔纳森乔斯达
21,地狱之歌我吹爆
22,终于等到你。
23,小黑的下饭时间
24,那么代价是什么
25,摩尔庄园？
26,这可不是美德…
27,祖先大魔说
28,圣魔之血好评，就是烂尾方式不能接受T_T
29,曼光头
30,确定不是梅毒吗
31,蕾米芙兰
32,一旦知道 非洲警告
33,又到了我最喜欢的下饭环节
34,来了，饭都准备好了
35,赶快3连
36,疯狂明示！
37,这一切
38,阿尔塔里斯，我最勇猛的开矿者
39,233
40,来了
41,先祖也是折磨，但是先祖知识量太大，折磨对他来说等同于美德
42,下饭
43,畸ji 形
44,又tm封印祸害后代？
45,这货就是个变态
46,下饭视频
47,小刀砍头？西巴
48,猩红诅咒，我第一次玩的痛
49,别说了，我宁愿去刷庭院
50,一刀400血
51,有趣的女人
52,夫人我想……
53,洛基？
54,色孽神选小黑
55,曼’光头
56,233
57,四血怒爆发队
58,那个牧师怕不是会把你烧成灰
59,哪里的血？开车吗？
60,不是，是猩红庄园
61,圣魔之血
62,开饭了
63,苏菲
64,哈哈哈哈哈
65,???
66,原来是这样……我说 血酿 怎么这么多……
67,小黑你San值没了。
68,睡前小故事
69,下饭
70,计划好了，血酿不足，在boss门口修女渴死了，瞬间San直葬………
71,粗鄙之语
72,牛！祖先的血统查一下。
73,美德的白色，折磨的尖刺，这是觉醒
74,祖先才是真正的怪物呀
75,猩红山庄
76,老祖宗牛逼
77,怎么感觉up刚刚好愉悦啊。。。
78,十分战锤
79,小黑我来了！！！
80,审判官来了
81,巫师
82,？？？
83,这怎么玩？
84,大龙娘，枪大公
85,233333
86,女警
87,@朱一旦的枯燥生活
88,DIO!
89,！！！！
90,太惨了
91,冯卡斯登
92,哈哈哈。。。
93,好呀
94,下饭下饭
95,祖先好强啊
96,带恶人
97,你san值掉了
98,san直葬
99,蕾米莉亚
100,画风怎么不一样了？
101,已三连
102,先祖的小刀：对伯爵夫人＋400%反击伤害
103,l龙娘最高
104,抖森！！！
105,laila  lailal
106,gkdgkd
107,！
108,来啦  来啦
109,天台solo
110,加百列·贝尔蒙特
111,老兵美德坚定！
112,这么大。，。。
113,这个男仆。。。
114,三连再看
115,多刷几次酿酒师储备就好了。。下一次能带回来两三组血酿
116,巧了，我两个都有
117,美丽的仪表和精美的华服，然后看看曼光头....
118,不好
119,逐渐变态，2333
120,dark♂地牢
121,这个鳄鱼是真的难打
122,血光。。加压力伤害。我第一次下本带个水晶饰品弩手 控压全靠狗哥。。
123,男爵之后那个图比这个还夸张
124,棒棒鸭
125,讲个笑话，大乔是jo家实力基本垫底的233
126,终于来辣
127,还有脸回来
128,狂信者就相当于战锤里的星际战士，你的队友就是普通新界军
129,这个变态
130,还有净化者啊，哈哈哈
131,小黑大悦
132,曼光头出来挨打
133,A叔让一血，另外塞拉斯真的棒
134,是大公
135,造了一堆丧尸
136,篝之雾枝？
137,赶紧解散了，不然完蛋
138,杀了我3个满级，气得当时直接开作弊招募了一堆满级
139,一丁点？那些男仆不是满地都是的吗？
140,正在吃饭
141,曼弗雷德
142,套装能用的没几套。。。 有的不是脱离定位就是被散件完爆
143,终于来了！
144,忠义无双曼光头
145,暗黑地牢是蚊子，，
146,dio？吃面包？
147,上一个肉身死磕吸血鬼的祖先——乔纳森·乔斯达
148,终于等到你了
149,皇家国教骑士团
150,反击一刀四百
151,庭院以前是老祖宗的后花园，专门拿来开趴
152,全员渴血狂信者一锤四删档一气呵成
153,终于更新啦
154,这张还是三个BOSS图里最小的一张，女伯爵的图简直了....
155,圣血天使?
156,这很忠诚
157,狂信者就是自带大炮的政委
158,wtf
159,你兴奋到破音了 喂
160,笑话，我们的老祖一身老祖装备
161,你在想桃子吃
162,老祖果然是老祖，折磨都能当成美德
163,女伯爵400血，30%防御，一回合能动三次，算一下祖宗的战斗力
164,先祖的水果刀：+999伤害+999暴击
165,赞了再看系列
166,对先祖来说美德和折磨都是正面BUFF
167,山峰
168,饮酒也是浅尝辄止
169,顺便提一下，普通人喝血酿会大量掉血并直接疯掉
170,全暗黑地牢最难boss
171,反击400血
172,上次一个被感染的人传染了修道院其他全部队友...心态爆炸
173,折磨好吗
174,不会啊，血多的喝不完
175,我就是这么玩的啊
176,《老路》
177,怕不是温家人
178,大龙娘
179,庭院被污染后祖先将其封印，祖先死后感染开始扩散
180,猛男
181,皇城PK现场
182,何等绝望（愉悦）
183,别问我怎么知道的QAQ
184,感觉小黑越说越有喜悦感。。
185,这祖先到底是什么神仙啊
186,来啦！
187,没错，他们就是圣血天使
188,这是美德吗?
189,哈哈哈哈哈
190,伯爵：坚强？
191,我敢吸女吸血鬼的xue
192,折磨+美德
193,老路见
194,庭院最可怕的是 正常地图出狂信。nm遇到赢了也基本要撤退了
195,出现了，cc3真正的boss冠军鳄鱼
196,猫风评被害
197,优秀么……我记得当初这DLC被骂的挺惨的
198,下饭下饭。肉沫豆腐，红烧肉，鸭血，炸鱿鱼须已准备好。
199,为何猫咪风评被害？全因兔子速度太快，这个不能不行啊！
200,+
201,魔眼？？挖出来卖钱哈哈
202,可惜作者死的早
203,鳄鱼难打？赏金教他做人、
204,刚刚是什么动漫？
205,没做成毛血旺 浪费了
206,Wtf
207,那小刀那里有买类？？？
208,美德！
209,？六月十九跟我生日同一天
210,先祖美德可还行2333，没有美德饰品出美德简直是最幸福的事情啦
211,tm不挑战就一直往外冒蚊子，肯定还是要打的啊！
212,不 你不想
213,已经打完了，简直想死，扫个图至少一个半小时以上
214,这个美德过的太不是时候了
215,结果是两个有毒的狂信徒撕逼
216,我六级队都团灭在女伯爵手里了
217,一如既往的病态难度，仿佛普天之下只有这一款游戏的高傲态度
218,这种状态下就跑路吧
219,卧槽这祖先是真的贼特么强
220,猩红诅咒可以算上半个正面buff
221,第一次打的时候，我把整张地图都走完了，只是为了找绿钥匙
222,激活酿酒师储备
223,解决掉女爵就可以治愈，猩红庭院本难度不高就是图大了一点
224,这姿势，你刚从血与酒的片场回来了吗？白狼。
225,开门！审判庭送温暖！！！
226,女爵的图真的丧病
227,为了cc套啊（笑）
228,狂信爹?害怕jpg.
229,是真正打破第四面墙直接攻击高维生物的可怕力量
230,想起来魔兽的那个bug
231,国立王教骑士团，也叫地狱之歌。超好看，可惜B站下架了
232,这是折磨
233,....
234,性趣
235,组队打男仆！我的淋巴先驱已经饥渴难耐！
236,巫师不也有好多吸血鬼吗
237,蔷薇十字骑士团
238,为什么你画风不一样
239,我所有区域都是高了。。。。。。
240,笑了，深深的恶意
241,可能是指女伯爵吧
242,先三连，再恰饭
243,初见杀你一个存档，不差评有鬼
244,不好，我觉得这不忠诚
245,不好，这不忠诚
246,猎魔人3
247,猫：？？？
248,设计理念不错，但是。。。太TM难了。。
249,小黑wcp什么时候更新啊
250,终于不是老祖宗惹的祸了。
251,叮当喵
252,强盗下面有点大
253,强大=大多废品
254,1刀400血
255,666
256,克总还发糖吗？
257,王立国教骑士团吧…
258,Scp基金会包围此地
259,有血液病的人血喝了会不会生病
260,你还能记得你吃过多少片面包吗
261,居然触发美德了
262,小黑好短……不过瘾，h不起来……
263,蔷薇十字骑士团！
264,hellsing！
265,万花筒吸血鬼啦
266,主要是太大了
267,我打了一个下午，，，，
268,这里全是mod英雄_(:_」∠)_
269,曼光头
270,洛基似你
271,诅咒之血真是可怕
272,等了好久了
273,贝尔蒙特拆迁队
274,战锤
275,？？？
276,祖先是真的牛B
277,遗迹里有办法做药，只是一瓶解药相当难得
278,或者动用高维恶魔的力量（指作弊）
279,遗迹的药剂平台拿草药互动可以做解药的
280,这是白色的折磨，不是美德。
281,WTF？？？？
282,小黑是狗党
283,色孽
284,老滚5
285,下饭
286,这玩意是真的难打
287,剑圣
288,皇立国教骑士团ova 也是地狱之歌
289,都才伯爵啊
290,好真实
291,美德？
292,老祖保佑，一刀400
293,喝，，，
294,梅毒那个哈哈哈你真skr小机灵鬼
295,老版本眩晕无限的时候比较简单，现在是真的变难了
296,等到了
297,篝之雾枝
298,突然注意到这里加了背包扩容的mod
299,祖先太吊了
300,我到了后期才开了猩红庭院的dlc，还是死了我好几个人
301,现在血酿多，不到高感染都不想去打猩红庭院
302,好看就喝！
303,来了
304,大公
305,nb
306,混沌恶
307,我可以
308,lei了lei了
309,祖先真的不是凡人啊，当然故事的主角也不是，所有和祖先同样血缘的都不是
310,BT
311,这造型太战锤了
312,色孽大魔小黑
313,直接用炮灰
314,怎么封印的？蒜头吗？
315,来了来了
316,？
317,一人一口，不准多喝，先把夸父盘古踢了
318,小丑：我太难了
319,万智牌 依尼翠
320,对，当初男爵这个图简直打到吐，必须找攻略
321,堕落之血
322,md我就是啊
323,下面的白色血液
324,变态
325,卖关子！
326,梅毒四期可还行
327,雷吉斯：这些都是你们幻想出来的，doge
328,Dio
329,下饭＋1
330,加了人物美化的mod
331,就不能开修改器吗？
332,其实前三个阶段都是buff
333,来了来了
334,最强BOSS
335,累了累了
336,自尽强化buff
337,人类是有极限的
338,久等了
339,等到了！！
340,你好短啊
341,rua
342,哦
343,前面的，只要你捧大乔我们就是兄弟
344,地狱之歌
345,为什么不是4个人争一瓶血酿阿
346,等了差不多一个月了，先三连再看
347,鳄鱼
348,诺斯费拉图
349,这番我吹爆！！！
350,杀了女伯爵以后医院就可以治疗猩红诅咒了
351,这里好像是强盗违背了自己不杀
352,女人和孩子的准则
353,女伯爵的图都可怕，我打了个通宵把图刷完了
354,吸血鬼不是没血的吗
355,敌人，异端
356,这不是老滚吗
357,祖先战斗力爆表，先祖装备个个牛逼
358,魔法-配置文件
359,下饭的来了
360,祖先是真的牛批，应该是最强人类，半步飞升了
361,祖先拿的怕不是 大衮的剃刀 出暴击秒了
362,我记得好像打死男爵就能清掉诅咒，打死女伯爵后就能放疗养院治疗
363,圣魔之血啊!
364,这不是很正常吗？不得病他们也干这些幺蛾子
365,dio
366,花Q
367,谁说的，埃姆林怀特就是个逗比......
368,曼光头！
369,亚楠？？
370,非常人性化
371,噗嗤，想起吐血的过去
372,万华镜1 我永远爱篝之雾枝
373,一口闷
374,4w了
375,dio？
376,dio？
377,不做人
378,捷克斯洛伐克
379,发狂了
380,拉二胡的大公
381,Trinity blood啊啊啊
382,大公来拉二胡了
383,我是夸父，我就喝一口
384,曼光头
385,小黑绝对是个色孽信徒
386,猩红渴望
387,红渴
388,女吸血鬼喜欢吸四十岁大叔血啊
389,那是他媳妇····
390,这个白发好看诶（白毛控）
391,有关巴卡尔的故事
392,洛基似你
393,小黑着魔很严重，给赶紧通知猎巫人或审判庭才行
394,红魔馆（滑稽）
395,还有会抱头蹲防的雷米利亚（滑稽）
396,地狱之歌
397,蕾米的吗？
398,猩红吸血热
399,莫得人吗？
400,一开始打这个，我跟朋友说打完就去吃饭，结果我两个小时都没能动地方
401,麻风哥美德王。
402,现在邀请函几率也提高了
403,谁来证明我来了弹幕？
404,圣血天使的红渴加黑怒
405,美德！
406,太难自然有人骂。。我也骂了
407,",,,,"
408,抖森
409,别问，因为祖先还学了死灵法术和传统巫术，把教他死灵术的法师在睡梦中杀了拼成了死灵法师
410,@修女
411,其实打几次酿酒师的本就好了
412,握草
413,那是下意识反应的误杀
414,有趣的女人
415,祖先无所不能
416,Hellsing 吹爆
417,究极生物
418,求美女吸血鬼吸血
419,+1 直接导致我的第一个存档报废
420,卧槽
421,无可匹敌的力量
422,切掉头就可以吃，蛋白质是牛肉的四倍
423,人的寿命是有极限的，所以我不做人啦jojo！
424,骂是因为太难了
425,ko no DIO da！
426,来了
427,鸡笼警告
428,好吧，我水娃就喝一口
429,第一次弃坑原因就在这
430,女伯爵好大
431,叮就完事儿了-伟天叮一郎
432,真滴猛男，怕不是从亚楠梦境醒来的猎人
433,不做人的吸血鬼喜欢扔压路机啊
434,用炮灰就好啦！（没人性）
435,猎魔人里的正统吸血鬼设定强的一比
436,狂信者？安德森？
437,阿卡多
438,祖传的小刀（传奇）
439,我不但敢喝女伯爵的血，我还敢喝她的。。。
440,政委啊
441,宁愿打星空怪和爬爬都不愿意打这玩意
442,少女地牢
443,哪来的日本杀马特
444,原型的黄杜鹃血族都是从坟里爬出来的丑比
445,最难BOSS
446,你好变态，我好喜欢
447,大龙娘！
448,地狱之歌好评！
449,地狱之歌好评！
450,请求净化
451,大龙娘
452,卡米拉
453,DIO！
454,噗100？
455,终于更了
456,李.克斯特
457,这是折磨，老祖这种坏事做尽的折磨出来才是美德(白光)233
458,作者也是要恰饭的嘛
459,66666
460,他爆美德了
461,讲真，猩红诅咒绝对是好东西
462,我感觉是因为掉san画面让他产生了“美德”···真是恶趣味呢
463,抄一次庄园15瓶血，就算你用感染的英雄去抄，也差不多净赚10瓶，怎么可能不够喝
464,死老鼠拯救你
465,讲真猩红诅咒真的是打极暗利器，血瓶也给的足够根本不怕没血喝
466,但是地图里餐车什么的很多啊
467,表示没啥压力……
468,祖宗有古神护体，为所欲为，谁都拿他没办法
469,圣魔之血！！！三连！
470,小刀单挑暴君我都见过
471,吸血鬼不是现代文学的产物吗？
472,我通完dd3的队伍 有一队死在 鳄鱼手上。。
473,女人，你在玩火！
474,祖先到底多有钱啊
475,祖先根本不是人吧
476,gkdgkd
477,这个DLC评价不高，主要地图设计不好
478,图还是固定的，知道路线其实很好打
479,有不吃饭建筑的话一回合就能通
480,我记得几率蛮高的吧，都懒得打
481,爬
482,暗示贵族的剥削
483,吃饭时间
484,地下城？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
485,教长!
486,闪着白光的折磨啊
487,其实还是老祖宗惹的祸
488,早期吸血鬼小说有不少是黄文 
489,我的细胞监狱这本小说就在写血釀
490,修女执念最逗比
491,其他人喝了绝望，唯独祖先出了美德
492,没想到吧MOD
493,但是历史上还是被奥斯曼杀了
494,这个还真不知道呢
495,这个还真不知道
496,浓厚的兴趣（指一时兴起想宰了她）
497,真是快乐
498,搞事之王
499,二五仔之血
500,地狱之歌！
501,我的档就是这么废的
502,我就是因为这个弃坑的 当初血酿给的真的少 不够吃
503,有生之年系列
504,有生之年
505,没打背包mod 格子少得可怜啊
506,生日得 我也是
507,用背包MOD 难度至少降低一半
508,等等？这张图是tb的吸血鬼之舞剧照？？
509,不是皇家国教骑士团吗
510,那不就是资本家吗
511,头屑呕
512,Mtg
513,狂喜！！！
514,来了来了！
515,就是强行肝，活该让人骂
516,牛顿，哈哈哈
517,吸血鬼本身就是成年人的世界
518,翻面就能飞
519,虽然难，但是真的酷阿
520,纳老爷点杰作
521,你好懂啊
522,想多了 我都是军事化狩猎 顺便收集酿的
523,喝了血就是猛
524,很猛的 boss我都是4个吸血鬼去打 带12瓶血
525,祖先好样的
526,fuck you还行
527,我敢喝
528,他 美德了
529,地狱歌我TM吹爆
530,祖先这战斗力，怕不是吸血鬼猎人
531,这鳄鱼boss简直了
532,@女巫打桩机
533,斗鱼那个胖子律师我看他过吐了
534,当初的苦修是个爹  能奶能回压能输出
535,打完基本一队人也残了
536,问题是这套装效果很微妙
537,Up已经被狂信者盯上了
538,大龙娘
539,吸血鬼不是身高1米9 还嗨到不行的吗
540,恶， 恶魔城？
541,大公
542,'l;
543,不，当时并没有没有，先祖知道并发掘古神遗迹是中年以后
544,HELLSING？
545,穿刺公拉二胡
546,龙娘别开腔，是我
547,当爹诅咒
548,这个地图特别大，钥匙特别多，超级难
549,想桃子吃？
550,染血的王鬼
551,暴击祖先，单杀女伯爵！
552,在？宁就是网易人事主管？
553,葬爱家族
554,这是回合制游戏罢
555,这是网络游戏？？？
556,短短短
557,说真的，看攻略就没意思了，这种迷宫做笔记才有味道
558,最高难度100回合 不能虽然浪费的
559,暴击400
560,祖先的折磨就是美德
561,小黑愉悦了
562,忠义无双
563,这个是折磨的图案美德的颜色
564,队伍里2个以上受诅咒的就有概率碰到
565,高感染一张中本掉个6 7张邀请函都正常
566,队伍里受到诅咒的人越多碰到的概率越高 全游戏最强的boss
567,.
568,然而这还是老祖宗的锅
569,老实说吸血鬼本质还是种嗜血的怪物
570,这个游戏我改了数据，一次装备16个装备，全部会全体补血、减压才通关的，真难
571,好复杂
572,黑暗♂地牢
573,感觉还是祖先牛逼，虐杀各种怪物 制造怪物
574,还是祖先牛逼
575,祖先就是魔王吧？？
576,祖先才不是普通人吧。。。。 祖先比尼玛各种邪神 怪物还比牛逼
577,猩红突击者
578,巴托里•伊丽莎白
579,祖先真的NB。。。。。。
580,月光椿?
581,难吗？还好啊
582,村里建个酿酒厂就解决问题了
583,甜蜜的咬痕
584,牛顿
585,强盗出来抢劫赚钱救孩子，结果抢到老婆孩子了
586,变身大司
587,一人血怒全家升天
588,注意袖子，袖子是愚人的头
589,阿卡多
590,阿卡多
591,白色折磨，很明显祖先此时已经san值归零，认为自己这种是美德
592,我真是high到不行了
593,血酿足够的话，猩红诅咒完全是正面buff，但是第一次玩建议别带这个mod
594,我靠 圣魔之血
595,立即更新下一期海底捞？
596,迷之发现非人之力
597,说好听叫美德，说难听就叫迷信
598,工具人上线
599,咋瓦鲁罗！！！
600,赌博？
601,WC，我要赶紧找个女朋友。
602,y水？
603,然后 头都给猎人锤烂了
604,麻风表示很快乐
605,少女地牢
606,我不做人啦！
607,后面那个桌子怎么有点老滚5的既视感
608,我想要up主用的这个mod
609,带老鼠啊
610,up主打的mod
611,卡拉赞你好
612,暗黑地牢的 画风真棒
613,最可怕的是这些人FGO里全有
614,八个患者分两队来回去就行
615,年轻前属实帅奥
616,自虐=优秀
617,事实上血瓶多得喝不完
618,精英怪鳄鱼是真的司马设计
619,后面还有两张更大的
620,强大（意义不明）的效果
621,逃回去没有用的，在家里呆着他们还是会因为喝不到血而渴死
622,wryyyyyyyyyyy
623,大家好
624,龙娘
625,？？？
626,相互喝血
627,《聖魔之血》的ost呀……
628,先祖的锅实在多到无法吐槽
629,不愧是先祖，虽然装备坑人但是很强
630,等等你这苦修者的MOD？！
631,当时又没酒厂掉落又低是真的难受
632,说血多到喝不完的人怕是后来才买的DLC
633,不打背包MOD和打了背包MOD不是一个难度
634,这狂信者和和地狱之歌里的神父有一拼
635,当时这个DLC刚刚出的时候纯净版玩家打到吐血
636,大蚊子【bushi】
637,+
638,这里的背景图是游戏《赛博朋克酒保行动》
639,Knightlord，Nightllord，Nightrold
640,然后我开了修改器，
641,我打吐了主要是路太难走了
642,开着修改器打的，但是长度让我怀疑人生
643,?????
644,狂喜
645,goumod
646,狂喜
647,真的长这破图
648,肝疼的bgm
649,新手劝退者
650,卧槽
651,@DIO
652,狂喜
653,一刀400
654,恶女这个皮肤真的很好看
655,地图太长了
656,这是吸血鬼莫比亚斯！漫威漫画
657,啊啊啊抖森
658,肝帝打法
659,？？？？？？？
660,抖森
661,狂信者堵门 直接把我灭队了
662,参见大公！
663,小丑和狗哥的执念 太好了 我好得不能再好
664,黑暗♂deep牢
665,圣魔之血
666,邻家索菲
667,这种不看攻略过不了的游戏不被骂才有鬼
668,哦，这个作者大大的mod很有意思！
669,？
670,攻略建议看老陈
671,？
672,首页恭喜
673,就是肝啊
674,会玩的话可以卡阶段
675,66
676,不进去就没事了？它还会出来找你呢
677,画风突变
678,因为这是少女地牢
679,子爵的图实际上不难，路上红酒和吃的特别多
680,没有中文版吗！！
681,圣魔之血
682,A叔！
683,色孽的忠诚信徒
684,抖森我爱你
685,表白嗷嗷嗷
686,一刀400
687,吹爆圣魔之血！
688,一刀四百的天赋
689,大公和龙娘···
690,我看到这个标题莫名就开车了
691,太惨了
692,Hellsing
693,下饭下饭
694,少女地牢
695,就是怕这种我才屯了100来瓶血酿才去打的庭院
696,比如scp500（雾）
697,当初玩了半天，场景太TM大了，果断弃坑了
698,啊啊啊啊啊猩红山峰的抖森！！！！！你币有了！
699,说实话这种不知道得情况下~加上刚更新得时候没有酒厂掉血率极低不差评是不可能的~
700,龙娘
701,说血多都是后面版本的~这里就说明了开荒的人是多被坑- -
702,暗♂黑地牢
703,+
704,。。。。。。。。。。
705,。。.。。。。。。。。。。。。。。。。。。。。。
706,是不是偏题了
707,wryyyyyyy
708,就不怕有头发掉血里吗
709,我真的全都一遍打通过啊
710,全拉去极暗地牢，看谁跑得快。
711,吓死宝宝了
712,动漫《圣魔之血》作者在第一部的时候就意外逝世了
713,这个是画面是《泰坦尼克号》
714,是像曼弗雷德那种大光头吗？
715,所学外G，你值得拥有
716,16秒起圣魔之血的BGM！！！
717,祖宗牛逼
718,4阶段喝血基本=撕肉团这种疯子了
719,这是最麻烦的进来要邀请函 进一次消耗一张 没了就要等其他图的怪随机掉了
720,招来红月的女伯爵是个穷鬼
721,薇薇安：这些我都没有，穷的只能吃土了
722,wryyyyyyyy
723,我真是high到不行了
724,没看过吸血鬼电影转化新吸血鬼都是喝老吸血鬼的血吗，所以，我能把她吸干
725,那叫不可描述
